102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200029	Centrum Kart Kredytowych i Operacji Kartowych                                                                                               	C-inne         	Warszawa                      	ul. W¢lczy‰ska 133                      	01-919	Warszawa                      	      	      	            	22 639 60 72        	                    	22 639 60 74        	                    	1998-01-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200032	Departament Produkt¢w Korporacyjnych - Pàatnoòci Masowe 1                                                                                   	C-inne         	Warszawa                      	ul. Puàawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200045	Departament Produkt¢w Korporacyjnych - Pàatnoòci Masowe 2                                                                                   	C-inne         	Warszawa                      	ul. Puàawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200058	Departament Produkt¢w Korporacyjnych - Pàatnoòci Masowe 3                                                                                   	C-inne         	Warszawa                      	ul. Puàawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200061	Departament Produkt¢w Korporacyjnych - Pàatnoòci Masowe 4                                                                                   	C-inne         	Warszawa                      	ul. Puàawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200074	Departament Produkt¢w Zarz•dzania órodkami Finansowymi - Pàatnoòci Masowe 5                                                                 	C-inne         	Warszawa                      	ul. Puàawska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2010-03-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200117	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Bydgoszczy                                                                                         	C.Oper         	Bydgoszcz                     	ul. Jagiello‰ska 21                     	85-097	Bydgoszcz                     	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	KUJAWSKO-POMORSKIE    	Bydgoszcz                	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200120	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Gda‰sku                                                                                            	C.Oper         	Gda‰sk                        	ul. Marynarki Polskiej 59               	80-557	Gda‰sk                        	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	POMORSKIE             	Gda‰sk                   	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200133	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Krzeszowicach                                                                                      	C.Oper         	Krzeszowice                   	ul. T. Koòciuszki 44                    	30-065	Krzeszowice                   	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAùOPOLSKIE           	krakowski                	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200146	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w ùomiankach                                                                                         	C.Oper         	ùomianki                      	ul. Warszawska 148                      	05-092	ùomianki                      	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	warszawski zachodni      	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200159	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Cz©stochowie                                                                                       	C.Oper         	Cz©stochowa                   	Aleja Najòwi©tszej Maryi Panny 19       	42-200	Cz©stochowa                   	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	óL§SKIE               	Cz©stochowa              	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200162	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Sosnowcu                                                                                           	C.Oper         	Sosnowiec                     	ul. Jana Kili‰skiego 20                 	41-200	Sosnowiec                     	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	óL§SKIE               	Sosnowiec                	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200175	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w ù©cznej                                                                                            	C.Oper         	ù©czna                        	ul. Szkolna 6                           	21-010	ù©czna                        	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	LUBELSKIE             	à©czy‰ski                	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200188	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w ùodzi                                                                                              	C.Oper         	ù¢d´                          	ul. Aleksandrowska 47                   	91-205	ù¢d´                          	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	ù‡DZKIE               	ù¢d´                     	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200191	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Olsztynie                                                                                          	C.Oper         	Olsztyn                       	ul. Jasna 13                            	10-427	Olsztyn                       	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	WARMI„SKO-MAZURSKIE   	Olsztyn                  	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200205	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Poznaniu                                                                                           	C.Oper         	Pozna‰                        	os. Bolesàawa ómiaàego 121              	60-682	Pozna‰                        	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	WIELKOPOLSKIE         	Pozna‰                   	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200218	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Rzeszowie                                                                                          	C.Oper         	Rzesz¢w                       	ul. Grunwaldzka 17                      	35-068	Rzesz¢w                       	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	PODKARPACKIE          	Rzesz¢w                  	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200221	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Szczecinie                                                                                         	C.Oper         	Szczecin                      	ul. Lucjana Rydla 41/42                 	70-783	Szczecin                      	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	ZACHODNIOPOMORSKIE    	Szczecin                 	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200234	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG we Wrocàawiu                                                                                         	C.Oper         	Wrocàaw                       	ul. Powsta‰c¢w ól•skich 60              	53-333	Wrocàaw                       	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	DOLNOóL§SKIE          	Wrocàaw                  	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200247	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Zielonej G¢rze                                                                                     	C.Oper         	Zielona G¢ra                  	ul. Powsta‰c¢w Warszawy 7               	65-807	Zielona G¢ra                  	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	LUBUSKIE              	Zielona G¢ra             	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200250	Centrum Zarz•dzania Got¢wk• Zesp¢à CZG w Biaàymstoku                                                                                        	C.Oper         	Biaàystok                     	ul. Bolesàawa Chrobrego 2               	15-057	Biaàystok                     	      	      	            	                    	                    	                    	                    	2018-03-19	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	PODLASKIE             	Biaàystok                	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200263	Centrala-rachunki Banku                                                                                                                     	Inne           	Warszawa                      	ul. Puàawska 15                         	02-515	Warszawa                      	      	      	            	22 521 47 74        	                    	                    	                    	2018-06-27	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	Warszawa                      	ul. Puàawska 15                         	02-515	Warszawa                      	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10201013	Oddziaà 1 w Warszawie                                                                                                                       	O.             	Warszawa                      	Plac Powsta‰c¢w Warszawy 4              	00-030	Warszawa                      	      	      	            	                    	                    	                    	                    	1949-01-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
